role,situation
Marketing,"Registration for an upcoming event is much lower than expected.  You had hopes that it would be well attended, and there’s only one week left before it starts."
Marketing,"Your team wants to start promoting an event early to build interest, but several important event details are still changing and may not be finalized for a while."
Marketing,"Shortly after publishing a social media post, someone points out that it contains a technical error that could mislead readers."
Marketing,"A utility client needs to approve an EDA project’s case study before it goes out, but they're slow to respond and the deadline is approaching."
Marketing,"You’re given a technical report packed with acronyms, technical language, and dense data and asked to turn it into marketing content that a general audience can understand."
EEPS,"A utility representative has repeatedly given participants guidance that appears inconsistent with the program’s expectations, creating the potential for customer confusion."
EEPS,"At an outreach event, a customer tells you they were dissatisfied with a previous experience participating in the EDA program and is clearly frustrated about what happened."
EEPS,"Over time, a team member has submitted several questions to an internal discussion forum – which seem related to program procedures, but the questions are vague enough on specifics to make the questions hard to answer."
EEPS,"A report for a utility client is due tomorrow, your calendar includes several hours of meetings, and two additional leadership requests arrive that also appear important and time-sensitive."
EEPS,"A hard-to-schedule customer requests an intro tomorrow with a specific consultant. The consultant’s calendar appears open, but they’ve been in meetings all day and haven’t yet responded about tomorrow’s availability."
EEPS,"During the EDA process, a project has been discussed exclusively through an owner’s rep, who handles all communication with the owner. The project now requires a document signed directly by the owner, but the consultant has stopped responding to follow-up requests."
EEPS,"A customer is uncomfortable sending a W-9 and raises privacy concerns, even though the document is required for participation and eventual incentive processing."
EEPS,"A customer submits a W-9 that appears complete, but the utility reports that it fails validation and cannot be used for incentive payment. The customer insists the form is correct and is frustrated by the delay."
EEPS,"A project is nearing construction completion, but the only project contact has stopped responding after months of outreach and may have left the company. Project documentation needed for verification still hasn’t been received."
Software,"One consultant’s completion dates look correct in the Coop but show up as one day later in exported reports. Other users are unaffected, making the problem inconsistent and difficult to reproduce."
Software,"A bug in NEO initially looks like a quick fix that can fit into the current release, but QA uncovers deeper problems requiring substantially more work and putting the release timeline at risk … and delaying the fix could result in incorrect model results."
Software,"A critical feature depends on a third-party service that begins failing intermittently. The third-party provider offers no useful status update or support response, while the app’s users continue relying on a now-buggy application."
Software,"The Silent Deploy: A production update goes out Friday afternoon that includes a routine update to an underlying software component. Everything looks fine until Monday, when a user reports intermittent errors in a feature that wasn't changed. No one called attention to the component update during review, and its role in the problem is unclear."
Software,"The Competing Priorities Standoff: Two project leads both need the same backend developer at full capacity this week — one for a client demo, one for a security patch with a compliance deadline. Neither will budge, and the developer is caught in the middle."
Software,"A senior developer leaves the company. Weeks later, a problem reveals that a critical process everyone thought was documented actually depended on a manual workaround that only the former developer knew to perform."
Admin,"A new vendor sends us their first invoice, but the vendor has not yet been set up in Willdan’s payment systems so their invoice cannot be processed yet, and the due date on the invoice is rapidly approaching."
Admin,"An office maintenance issue needs attention, and you learn that the repair work will likely be noisy and otherwise disruptive to the office team while it’s being carried out. Several staff meetings are already on the calendar during that time."
Admin,"A couple hours before an all-hands meeting, you learn that the lunch order was lost by the caterer and they won’t have the order ready until later that afternoon."
